1 Fitness= 44840 Best= 54740
10001 Fitness= 47940 Best= 33650
20001 Fitness= 39870 Best= 30830
30001 Fitness= 44790 Best= 30830
40001 Fitness= 50040 Best= 30830
50001 Fitness= 45700 Best= 30830
60001 Fitness= 46800 Best= 30830
70001 Fitness= 45920 Best= 30830
80001 Fitness= 54130 Best= 30830
90001 Fitness= 46910 Best= 30830
100000 Fitness= 51140 Best= 30830


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
10013	2	1
9205	6	1
9206	3	1
8885	2	1
9245	6	2
9246	5	2
9887	4	3
9505	2	1
9976	3	1
10062	3	1
9989	3	1
10248	3	1
10249	2	1
10508	3	2
94	1	10367	1	1
95	2	10039	2	2
96	3	9007	4	3
97	2	9245	6	2
98	2	9887	2	3
99	3	10063	1	2
100	3	10467	1	1
101	2	9545	2	1
102	2	9565	3	1
103	5	10107	3	4
104	1	9667	5	2
105	1	10347	7	7
106	3	10002	2	1
107	1	9627	2	1
108	1	10747	1	1
109	2	9007	4	3
110	2	10009	2	1
111	1	10170	1	1
112	3	10062	2	1
113	5	9446	1	1
114	3	10002	2	1
115	4	10567	3	1
116	1	9245	6	2
117	2	9007	4	3
118	2	10107	3	4
119	2	10567	3	1
120	3	9984	2	1
121	2	9616	1	1
122	3	9007	4	3
123	3	9827	7	1
124	4	9622	1	1
125	5	10030	1	2
126	1	9912	1	1
127	3	9426	9	5
128	3	9827	7	1
129	3	9426	9	5
130	1	9206	2	1
131	5	9465	1	1
132	2	9968	2	1
133	3	10647	1	1
134	3	10248	4	1
135	4	9245	6	2
136	5	9667	5	2
137	1	9788	1	1
138	3	10729	1	1
139	3	9827	7	1
140	2	9787	3	2
141	2	10248	4	1
142	4	9976	1	1
143	3	10056	1	1
144	2	9982	3	2
145	5	9387	1	1
146	3	9245	6	2
147	5	10062	2	1
148	5	9265	3	4
149	2	9689	3	1
150	1	10347	7	7
151	5	9984	2	1
152	5	9624	3	2
153	2	9006	1	3
154	1	10787	1	1
155	2	9545	2	1
156	3	9688	1	1
157	3	10187	1	1
Summary details:
#violations= 43
fitness= 45900
34 students got their choice 1 project
35 students got their choice 2 project
35 students got their choice 3 project
27 students got their choice 4 project
26 students got their choice 5 project
1 Fitness= 40780 Best= 48920
10001 Fitness= 48910 Best= 31690
20001 Fitness= 46860 Best= 31000
30001 Fitness= 42590 Best= 31000
40001 Fitness= 46790 Best= 31000
50001 Fitness= 42960 Best= 31000
60001 Fitness= 43820 Best= 30890
70001 Fitness= 44880 Best= 30890
80001 Fitness= 49540 Best= 30110
90001 Fitness= 42750 Best= 30110
100000 Fitness= 43870 Best= 30110


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
9205	4	1
10025	2	1
10030	3	2
9405	2	1
9968	2	1
9245	7	2
9246	4	2
9976	2	1
9426	8	5
9989	3	1
9613	2	1
9624	4	2
9627	3	1
10527	2	1
9545	5	1
10187	3	1
9827	6	1
9911	2	1
9667	5	2
Complete List of Project Allocations Made:
STUDENT	CHOICE	PRJ_ID	N_ALLOC	MAX
1	1	9426	8	5
2	1	9911	2	1
3	1	10767	1	1
4	4	9807	1	1
5	3	10015	1	1
6	4	10042	1	1
7	3	9989	3	1
8	5	9105	1	1
9	1	10607	1	1
10	5	9996	1	1
11	4	10467	1	1
12	3	10058	1	2
13	4	9911	2	1
14	4	9265	3	4
15	4	10187	3	1
16	4	9624	4	2
17	2	10030	3	2
18	5	9989	3	1
19	5	10508	1	2
20	2	9205	4	1
21	1	10667	1	1
22	1	9528	1	1
23	2	9667	5	2
24	1	9667	5	2
25	1	9426	8	5
26	2	9245	7	2
27	1	10271	2	4
28	1	10016	1	1
29	1	10347	7	7
30	1	9667	5	2
31	4	9426	8	5
32	3	9489	1	2
33	4	10271	2	4
34	3	9245	7	2
35	4	9827	6	1
36	4	10025	2	1
37	2	9827	6	1
38	3	9827	6	1
